"rteNo","HUC4","BCR","TNC","bio1_5k_50_sd","bio1_5k_50_mean","bio1_5k_tri_50_mean","bio12_5k_50_sd","bio12_5k_50_mean","bio12_5k_tri_50_mean","biocloud1_5k_50_sd","biocloud1_5k_50_mean","biocloud1_5k_tri_50_mean","elevation_5k_50_sd","elevation_5k_50_mean","elevation_5k_tri_50_mean","soil_type_5k_50_diversity","soil_type_5k_50_mode","geological_age_5k_50_diversity","geological_age_5k_50_mode","human_footprint_5k_50_sd","human_footprint_5k_50_mean","human_footprint_5k_tri_50_mean","dhi_gpp_5k_50_sd","dhi_gpp_5k_50_mean","dhi_gpp_5k_tri_50_mean"
34018,"0712","EASTERN TALLGRASS PRAIRIE","NA0404. Great Lakes",1.1715715136213,11.044924740656,0.80722602870729,23.807552730115,978.05509798026,1.0235000789441,NA,NA,44.376106733157,20.572663497377,202.07255520505,9.7231012658228,0.163421503043314,25,0.668791310494623,76,18.853987703448,72.712418300654,13.176062091503,1208.1603582537,8509.9948717949,993.76985677083
34029,"0713","EASTERN TALLGRASS PRAIRIE","NA0804. Central Tallgrass Prairie",0.36961988840496,10.924675900049,0.31726829352833,17.256294220516,971.5444146565,0.61962174872557,NA,NA,27.30368187314,22.885795058951,217.97476340694,10.218454258675,0.469220348441599,25,0,56,16.876042900241,48.940063091483,14.527602523659,879.17373189783,8406.1158730159,660.01845238095
69409,"1710","NORTHERN PACIFIC RAINFOREST","NA0515. Pacific Northwest Coast",0.99882183394548,12.591653680189,0.67989730128536,487.32637184866,1695.9019030703,1.2854604242025,NA,NA,82.229082858178,177.53816730594,271.07024793388,121.46348314607,0.753196246455236,9,0.262242416115598,80,13.576865836438,25.35864978903,7.6488347457627,2962.4652358515,15818.56352459,1870.828125
64115,"0902","PRAIRIE POTHOLES","NA0806. Dakota Mixed-Grass Prairie",0.51139136615938,6.5868850499307,0.26758551960669,20.704285875046,513.81966274523,1.0108380711018,NA,NA,31.072474135965,45.305438858443,434.02839116719,11.639589905363,0,7,0,11,12.498855842311,28.92429022082,10.539556962025,990.85164840621,6302.9791666667,792.94310897436
51205,"0803","MISSISSIPPI ALLUVIAL VALLEY","NA0408. Mississippi River Alluvial Plain",0.8039268421688,18.784420878137,0.43743248283863,42.866745316656,1417.7356708527,0.74522226527333,NA,NA,48.66452999115,32.889214015752,62.072784810127,10.845727848101,0.908059407228578,21,0.692966910153425,72,15.696910712893,36.449367088608,13.191060126582,3711.9536774103,11996.915873016,2112.0400793651
44108,"0104","ATLANTIC NORTHERN FOREST","NA0411. Northern Appalachian / Acadian",0.59032382215186,7.6531644186705,0.45533283733707,46.73041457608,1279.8303744253,0.96496850388781,NA,NA,72.119313213111,88.498107480839,135.09712230216,44.659793814433,0.0762869443991069,28,1.07283562305946,58,12.134169655351,28.048076923077,9.3578431372549,1030.1564916623,13910.965346535,865.44925742574
27301,"0307","SOUTHEASTERN COASTAL PLAIN","NA0520. South Atlantic Coastal Plain",0.61227522060059,19.829864951629,0.45150723283654,35.097424822717,1303.5296373304,0.81985714281632,NA,NA,59.87489748464,14.018192634275,20.670103092784,6.8120993589744,1.12093342860489,2,0.277473502360473,72,16.224933850305,29.539007092199,10.45079787234,6822.5913747169,21973.613793103,6151.886637931
81704,"1012","BADLANDS AND PRAIRIES","NA0502. Black Hills",2.0889402747612,10.655553996576,0.72967114516667,69.86006322791,525.06271785327,1.1314241889545,NA,NA,112.92932721819,338.90005147162,1525.251572327,98.235849056604,0.325082973391448,21,1.58525816864663,62,17.699798601543,22.632075471698,9.8130914826498,2330.6187374252,7545.2356687898,1597.5475716561
34039,"0713","EASTERN TALLGRASS PRAIRIE","NA0804. Central Tallgrass Prairie",0.52786334308566,13.111284948236,0.32218039321328,25.63902905111,1033.0203945594,0.80606510039575,NA,NA,31.919136641268,32.908989692242,180.25,24.217948717949,0.75851992779561,21,1.1950564046613,42,13.326622062806,43.022435897436,13.126201923077,1619.3060534666,10001.36407767,1567.8830906149
34045,"0512","EASTERN TALLGRASS PRAIRIE","NA0406. Interior Low Plateau",0.30059281052653,12.169277791201,0.29063522744322,40.02961639789,1073.5133857955,0.60485665312784,NA,NA,27.925276887631,16.25830436846,191.20625,7.719140625,0.884011979198787,26,0.0211461152051303,56,15.56739255423,48.80625,13.92429022082,1229.5176942457,9564.6332288401,1125.2390625
34002,"0709","EASTERN TALLGRASS PRAIRIE","NA0415. Prairie-Forest Border",0.512315353775,8.9425463621945,0.36375838738901,17.693585831026,938.44313837569,0.47668490954387,NA,NA,27.309882835106,25.71477700654,250.68932038835,17.855177993528,0.264052051825629,25,0.522560553090994,47,16.324039707386,49.647249190939,12.95413961039,800.58447415031,8886.6716171617,633.92079207921
34003,"0709","EASTERN TALLGRASS PRAIRIE","NA0415. Prairie-Forest Border",0.51340737882074,9.0469941324198,0.40387763246635,13.585206980585,929.95179296505,0.46581344383989,71.715907873143,6125.8032903947,27.93354612141,20.179939916416,249.43119266055,15.349770642202,0,25,0.443967937627567,47,16.803263152531,52.232415902141,14.095565749235,731.87757327262,8490.078369906,573.90517241379
34005,"0712","EASTERN TALLGRASS PRAIRIE","NA0404. Great Lakes",1.441071054206,10.068905048246,0.76636680850276,29.284802000968,931.8815553571,1.0520195715175,116.06751862929,6002.6544942974,49.634969075521,35.192660612796,223.55627009646,12.340328467153,0.819010208740733,25,0.529706199057654,76,18.902308189794,70.2,12.039705882353,1166.2572677291,8798.4353741497,938.08146551724
